mode: set
golang-api/user_repository.go:10.52,15.2 1 1
golang-api/jwt.go:18.73,20.16 2 1
golang-api/jwt.go:23.2,26.8 1 1
golang-api/jwt.go:20.16,22.3 1 0
golang-api/jwt.go:28.59,30.2 1 1
golang-api/jwt.go:31.62,33.2 1 1
golang-api/jwt.go:44.3,47.16 3 1
golang-api/jwt.go:51.2,53.16 3 1
golang-api/jwt.go:57.2,57.51 1 1
golang-api/jwt.go:61.2,62.16 2 1
golang-api/jwt.go:66.2,67.24 2 1
golang-api/jwt.go:47.16,50.3 2 0
golang-api/jwt.go:53.16,56.3 2 0
golang-api/jwt.go:57.51,60.3 2 1
golang-api/jwt.go:62.16,65.3 2 0
golang-api/jwt.go:72.89,73.55 1 1
golang-api/jwt.go:73.55,77.17 4 1
golang-api/jwt.go:82.3,83.17 2 1
golang-api/jwt.go:88.3,89.23 2 1
golang-api/jwt.go:94.3,94.17 1 1
golang-api/jwt.go:77.17,81.4 3 1
golang-api/jwt.go:83.17,87.4 3 0
golang-api/jwt.go:89.23,93.4 3 1
golang-api/jwt.go:100.109,101.55 1 1
golang-api/jwt.go:101.55,105.17 4 1
golang-api/jwt.go:110.3,111.17 2 1
golang-api/jwt.go:116.3,117.23 2 1
golang-api/jwt.go:122.3,122.26 1 1
golang-api/jwt.go:127.3,127.26 1 1
golang-api/jwt.go:105.17,109.4 3 0
golang-api/jwt.go:111.17,115.4 3 0
golang-api/jwt.go:117.23,121.4 3 0
golang-api/jwt.go:122.26,126.4 3 0
golang-api/jwt.go:133.39,134.55 1 1
golang-api/jwt.go:134.55,138.17 4 1
golang-api/jwt.go:143.3,144.17 2 1
golang-api/jwt.go:149.3,149.32 1 1
golang-api/jwt.go:154.3,154.17 1 1
golang-api/jwt.go:138.17,142.4 3 1
golang-api/jwt.go:144.17,148.4 3 0
golang-api/jwt.go:149.32,153.4 3 0
golang-api/log.go:18.45,21.2 2 1
golang-api/log.go:22.50,25.2 2 1
golang-api/log.go:26.54,27.55 1 1
golang-api/log.go:27.55,32.17 3 1
golang-api/log.go:37.3,48.4 5 1
golang-api/log.go:32.17,36.4 3 0
golang-api/main.go:15.69,17.2 1 1
golang-api/main.go:19.69,21.2 1 1
golang-api/main.go:23.105,24.55 1 1
golang-api/main.go:24.55,26.3 1 1
golang-api/main.go:29.39,39.16 5 1
golang-api/main.go:39.16,40.13 1 0
golang-api/main.go:44.44,48.2 3 1
golang-api/main.go:50.13,56.16 5 0
golang-api/main.go:59.2,75.12 13 0
golang-api/main.go:82.2,84.16 3 0
golang-api/main.go:87.2,87.28 1 0
golang-api/main.go:56.16,57.13 1 0
golang-api/main.go:75.12,81.3 4 0
golang-api/main.go:84.16,86.3 1 0
golang-api/user.go:41.64,42.36 1 1
golang-api/user.go:45.2,46.12 2 1
golang-api/user.go:42.36,44.3 1 1
golang-api/user.go:49.61,51.2 1 1
golang-api/user.go:52.67,53.36 1 1
golang-api/user.go:56.2,58.12 3 1
golang-api/user.go:53.36,55.3 1 0
golang-api/user.go:60.64,61.36 1 0
golang-api/user.go:64.2,66.18 3 0
golang-api/user.go:61.36,63.3 1 0
golang-api/user.go:69.29,70.22 1 1
golang-api/user.go:75.2,75.13 1 1
golang-api/user.go:70.22,71.51 1 1
golang-api/user.go:71.51,73.4 1 1
golang-api/user.go:78.38,80.16 2 1
golang-api/user.go:83.2,83.12 1 1
golang-api/user.go:80.16,82.3 1 1
golang-api/user.go:85.37,86.19 1 1
golang-api/user.go:89.2,89.19 1 1
golang-api/user.go:92.2,92.12 1 1
golang-api/user.go:86.19,88.3 1 1
golang-api/user.go:89.19,91.3 1 1
golang-api/user.go:94.37,95.18 1 1
golang-api/user.go:98.2,98.12 1 1
golang-api/user.go:95.18,97.3 1 1
golang-api/user.go:101.58,103.47 1 1
golang-api/user.go:106.2,106.53 1 1
golang-api/user.go:109.2,109.49 1 1
golang-api/user.go:112.2,112.12 1 1
golang-api/user.go:103.47,105.3 1 1
golang-api/user.go:106.53,108.3 1 1
golang-api/user.go:109.49,111.3 1 1
golang-api/user.go:115.72,118.16 3 1
golang-api/user.go:122.2,122.55 1 1
golang-api/user.go:126.2,134.16 4 1
golang-api/user.go:138.2,139.31 2 1
golang-api/user.go:118.16,121.3 2 0
golang-api/user.go:122.55,125.3 2 1
golang-api/user.go:134.16,137.3 2 1
golang-api/user.go:142.84,144.16 2 1
golang-api/user.go:147.2,148.43 2 1
golang-api/user.go:152.2,159.16 3 1
golang-api/user.go:163.2,164.33 2 1
golang-api/user.go:144.16,145.13 1 0
golang-api/user.go:148.43,151.3 2 0
